    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Mean gene diversity (expected heterozygosity), SE, SD
    Mean inbreeding coefficient, SE, SD
    Mean number of alleles, SE, SD
    Mean number of lethal alleles, SE, SD
    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
8; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 88.69; 0.96; 30.33; 88.69; 0.96; 30.33; 0.9769; 0.0001; 0.0030; 0.0020; 0.0002; 0.0052; 62.80; 0.20; 6.39; 3.14; 0.01; 0.33; 0.00; 0.00; 0.00; 0
9; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 91.27; 0.90; 28.46; 91.27; 0.90; 28.46; 0.9686; 0.0001; 0.0046; 0.0068; 0.0003; 0.0101; 50.52; 0.16; 4.92; 3.12; 0.01; 0.39; 0.00; 0.00; 0.00; 0
10; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063; 0.0422; 0.0133; 0.4202; 91.27; 0.90; 28.46; 91.27; 0.90; 28.46; 0.9686; 0.0001; 0.0046; 0.0068; 0.0003; 0.0101; 50.52; 0.16; 4.92; 3.12; 0.01; 0.39; 0.00; 0.00; 0.00; 0
11; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 91.27; 0.90; 28.46; 91.27; 0.90; 28.46; 0.9686; 0.0001; 0.0046; 0.0068; 0.0003; 0.0101; 50.52; 0.16; 4.92; 3.12; 0.01; 0.39; 0.00; 0.00; 0.00; 0
12; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 86.54; 0.97; 30.52; 86.54; 0.97; 30.52; 0.9677; 0.0001; 0.0046; 0.0070; 0.0003; 0.0106; 48.77; 0.16; 4.96; 3.12; 0.01; 0.39; 0.00; 0.00; 0.00; 0
13; 0.9960; 0.0020; 0.0040; 0.0020; 0.5063;      0;      0;      0; 88.16; 0.86; 27.06; 87.81; 0.87; 27.54; 0.9567; 0.0002; 0.0079; 0.0137; 0.0005; 0.0146; 37.70; 0.13; 4.26; 3.10; 0.01; 0.44; 4.00; 0.00; 0.00; 0
14; 0.9960; 0.0020; 0.0000; 0.0000; 0.5063; 0.0272; 0.0118; 0.3734; 88.16; 0.86; 27.06; 87.81; 0.87; 27.54; 0.9567; 0.0002; 0.0079; 0.0137; 0.0005; 0.0146; 37.70; 0.13; 4.26; 3.10; 0.01; 0.44; 4.00; 0.00; 0.00; 0
15; 0.9960; 0.0020; 0.0000; 0.0000; 0.5063;      0;      0;      0; 88.16; 0.86; 27.06; 87.81; 0.87; 27.54; 0.9567; 0.0002; 0.0079; 0.0137; 0.0005; 0.0146; 37.70; 0.13; 4.26; 3.10; 0.01; 0.44; 4.00; 0.00; 0.00; 0
16; 0.9960; 0.0020; 0.0000; 0.0000; 0.5063;      0;      0;      0; 83.38; 0.91; 28.84; 83.05; 0.92; 29.24; 0.9558; 0.0003; 0.0080; 0.0141; 0.0005; 0.0152; 36.79; 0.14; 4.26; 3.10; 0.01; 0.45; 4.00; 0.00; 0.00; 0
17; 0.9910; 0.0030; 0.0050; 0.0022; 0.5063;      0;      0;      0; 87.47; 0.85; 26.78; 86.70; 0.88; 27.87; 0.9467; 0.0003; 0.0109; 0.0225; 0.0006; 0.0192; 31.39; 0.12; 3.89; 3.07; 0.02; 0.50; 4.56; 0.18; 0.53; 0
18; 0.9910; 0.0030; 0.0000; 0.0000; 0.5063; 0.0553; 0.0118; 0.3703; 87.47; 0.85; 26.78; 86.70; 0.88; 27.87; 0.9467; 0.0003; 0.0109; 0.0225; 0.0006; 0.0192; 31.39; 0.12; 3.89; 3.07; 0.02; 0.50; 4.56; 0.18; 0.53; 0
19; 0.9910; 0.0030; 0.0000; 0.0000; 0.5063;      0;      0;      0; 87.47; 0.85; 26.78; 86.70; 0.88; 27.87; 0.9467; 0.0003; 0.0109; 0.0225; 0.0006; 0.0192; 31.39; 0.12; 3.89; 3.07; 0.02; 0.50; 4.56; 0.18; 0.53; 0
20; 0.9910; 0.0030; 0.0000; 0.0000; 0.5063;      0;      0;      0; 82.86; 0.91; 28.49; 82.13; 0.93; 29.39; 0.9459; 0.0004; 0.0112; 0.0226; 0.0006; 0.0198; 30.77; 0.12; 3.91; 3.07; 0.02; 0.50; 4.56; 0.18; 0.53; 0
21; 0.9880; 0.0034; 0.0030; 0.0017; 0.5063;      0;      0;      0; 85.29; 0.85; 26.63; 84.27; 0.89; 28.05; 0.9359; 0.0005; 0.0148; 0.0311; 0.0007; 0.0235; 26.65; 0.12; 3.66; 3.02; 0.02; 0.53; 4.92; 0.23; 0.79; 0
22; 0.9880; 0.0034; 0.0000; 0.0000; 0.5063; 0.0360; 0.0120; 0.3761; 85.29; 0.85; 26.63; 84.27; 0.89; 28.05; 0.9359; 0.0005; 0.0148; 0.0311; 0.0007; 0.0235; 26.65; 0.12; 3.66; 3.02; 0.02; 0.53; 4.92; 0.23; 0.79; 0
23; 0.9880; 0.0034; 0.0000; 0.0000; 0.5063;      0;      0;      0; 85.29; 0.85; 26.63; 84.27; 0.89; 28.05; 0.9359; 0.0005; 0.0148; 0.0311; 0.0007; 0.0235; 26.65; 0.12; 3.66; 3.02; 0.02; 0.53; 4.92; 0.23; 0.79; 0
24; 0.9880; 0.0034; 0.0000; 0.0000; 0.5063;      0;      0;      0; 80.49; 0.91; 28.50; 79.53; 0.94; 29.65; 0.9349; 0.0005; 0.0150; 0.0315; 0.0008; 0.0242; 26.11; 0.12; 3.66; 3.02; 0.02; 0.54; 4.92; 0.23; 0.79; 0
25; 0.9860; 0.0037; 0.0020; 0.0014; 0.5063;      0;      0;      0; 84.69; 0.84; 26.46; 83.51; 0.89; 28.10; 0.9253; 0.0005; 0.0172; 0.0423; 0.0009; 0.0282; 23.06; 0.11; 3.34; 2.98; 0.02; 0.57; 5.21; 0.28; 1.05; 0
26; 0.9860; 0.0037; 0.0000; 0.0000; 0.5063; 0.0596; 0.0122; 0.3841; 84.69; 0.84; 26.46; 83.51; 0.89; 28.10; 0.9253; 0.0005; 0.0172; 0.0423; 0.0009; 0.0282; 23.06; 0.11; 3.34; 2.98; 0.02; 0.57; 5.21; 0.28; 1.05; 0
27; 0.9860; 0.0037; 0.0000; 0.0000; 0.5063;      0;      0;      0; 84.69; 0.84; 26.46; 83.51; 0.89; 28.10; 0.9253; 0.0005; 0.0172; 0.0423; 0.0009; 0.0282; 23.06; 0.11; 3.34; 2.98; 0.02; 0.57; 5.21; 0.28; 1.05; 0
28; 0.9860; 0.0037; 0.0000; 0.0000; 0.5063;      0;      0;      0; 80.01; 0.90; 28.29; 78.89; 0.94; 29.63; 0.9245; 0.0006; 0.0175; 0.0426; 0.0009; 0.0296; 22.71; 0.11; 3.32; 2.98; 0.02; 0.57; 5.21; 0.28; 1.05; 0
29; 0.9790; 0.0045; 0.0070; 0.0026; 0.5063;      0;      0;      0; 83.29; 0.84; 26.39; 81.55; 0.91; 28.69; 0.9150; 0.0006; 0.0197; 0.0543; 0.0011; 0.0330; 20.38; 0.10; 3.08; 2.92; 0.02; 0.59; 6.14; 0.35; 1.59; 0
30; 0.9790; 0.0045; 0.0000; 0.0000; 0.5063; 0.0437; 0.0117; 0.3655; 83.29; 0.84; 26.39; 81.55; 0.91; 28.69; 0.9150; 0.0006; 0.0197; 0.0543; 0.0011; 0.0330; 20.38; 0.10; 3.08; 2.92; 0.02; 0.59; 6.14; 0.35; 1.59; 0
31; 0.9790; 0.0045; 0.0000; 0.0000; 0.5063;      0;      0;      0; 83.29; 0.84; 26.39; 81.55; 0.91; 28.69; 0.9150; 0.0006; 0.0197; 0.0543; 0.0011; 0.0330; 20.38; 0.10; 3.08; 2.92; 0.02; 0.59; 6.14; 0.35; 1.59; 0
32; 0.9790; 0.0045; 0.0000; 0.0000; 0.5063;      0;      0;      0; 78.71; 0.90; 28.04; 77.06; 0.95; 29.93; 0.9140; 0.0006; 0.0199; 0.0548; 0.0011; 0.0343; 20.09; 0.10; 3.05; 2.92; 0.02; 0.59; 6.14; 0.35; 1.59; 0
33; 0.9730; 0.0051; 0.0060; 0.0024; 0.5063;      0;      0;      0; 82.74; 0.87; 27.03; 80.52; 0.94; 29.81; 0.9040; 0.0008; 0.0238; 0.0654; 0.0013; 0.0397; 18.22; 0.09; 2.91; 2.85; 0.02; 0.61; 6.78; 0.36; 1.85; 0
34; 0.9730; 0.0051; 0.0000; 0.0000; 0.5063; 0.0507; 0.0117; 0.3663; 82.74; 0.87; 27.03; 80.52; 0.94; 29.81; 0.9040; 0.0008; 0.0238; 0.0654; 0.0013; 0.0397; 18.22; 0.09; 2.91; 2.85; 0.02; 0.61; 6.78; 0.36; 1.85; 0
35; 0.9730; 0.0051; 0.0000; 0.0000; 0.5063;      0;      0;      0; 82.74; 0.87; 27.03; 80.52; 0.94; 29.81; 0.9040; 0.0008; 0.0238; 0.0654; 0.0013; 0.0397; 18.22; 0.09; 2.91; 2.85; 0.02; 0.61; 6.78; 0.36; 1.85; 0
36; 0.9730; 0.0051; 0.0000; 0.0000; 0.5063;      0;      0;      0; 78.22; 0.92; 28.67; 76.12; 0.98; 30.97; 0.9031; 0.0008; 0.0240; 0.0654; 0.0013; 0.0402; 17.99; 0.09; 2.91; 2.85; 0.02; 0.62; 6.78; 0.36; 1.85; 0
37; 0.9690; 0.0055; 0.0040; 0.0020; 0.5063;      0;      0;      0; 80.68; 0.83; 25.83; 78.18; 0.92; 29.01; 0.8929; 0.0009; 0.0273; 0.0749; 0.0014; 0.0435; 16.47; 0.09; 2.78; 2.77; 0.02; 0.64; 7.19; 0.37; 2.04; 0
38; 0.9690; 0.0055; 0.0000; 0.0000; 0.5063; 0.0382; 0.0115; 0.3578; 80.68; 0.83; 25.83; 78.18; 0.92; 29.01; 0.8929; 0.0009; 0.0273; 0.0749; 0.0014; 0.0435; 16.47; 0.09; 2.78; 2.77; 0.02; 0.64; 7.19; 0.37; 2.04; 0
39; 0.9690; 0.0055; 0.0000; 0.0000; 0.5063;      0;      0;      0; 80.68; 0.83; 25.83; 78.18; 0.92; 29.01; 0.8929; 0.0009; 0.0273; 0.0749; 0.0014; 0.0435; 16.47; 0.09; 2.78; 2.77; 0.02; 0.64; 7.19; 0.37; 2.04; 0
40; 0.9690; 0.0055; 0.0000; 0.0000; 0.5063;      0;      0;      0; 76.13; 0.88; 27.38; 73.77; 0.95; 30.00; 0.8918; 0.0009; 0.0283; 0.0754; 0.0015; 0.0454; 16.28; 0.09; 2.77; 2.77; 0.02; 0.65; 7.19; 0.37; 2.04; 0
41; 0.9620; 0.0060; 0.0070; 0.0026; 0.5063;      0;      0;      0; 78.84; 0.83; 25.63; 75.85; 0.93; 29.30; 0.8823; 0.0011; 0.0327; 0.0843; 0.0015; 0.0474; 15.06; 0.09; 2.64; 2.68; 0.02; 0.66; 7.89; 0.38; 2.37; 0
42; 0.9620; 0.0060; 0.0000; 0.0000; 0.5063; 0.0354; 0.0114; 0.3534; 78.84; 0.83; 25.63; 75.85; 0.93; 29.30; 0.8823; 0.0011; 0.0327; 0.0843; 0.0015; 0.0474; 15.06; 0.09; 2.64; 2.68; 0.02; 0.66; 7.89; 0.38; 2.37; 0
43; 0.9620; 0.0060; 0.0000; 0.0000; 0.5063;      0;      0;      0; 78.84; 0.83; 25.63; 75.85; 0.93; 29.30; 0.8823; 0.0011; 0.0327; 0.0843; 0.0015; 0.0474; 15.06; 0.09; 2.64; 2.68; 0.02; 0.66; 7.89; 0.38; 2.37; 0
44; 0.9620; 0.0060; 0.0000; 0.0000; 0.5063;      0;      0;      0; 74.31; 0.87; 27.05; 71.49; 0.95; 30.09; 0.8812; 0.0011; 0.0332; 0.0853; 0.0016; 0.0490; 14.88; 0.08; 2.63; 2.68; 0.02; 0.66; 7.89; 0.38; 2.37; 0
45; 0.9550; 0.0066; 0.0070; 0.0026; 0.5063;      0;      0;      0; 78.92; 0.81; 24.94; 75.38; 0.93; 29.31; 0.8714; 0.0012; 0.0373; 0.0955; 0.0016; 0.0503; 13.88; 0.08; 2.53; 2.60; 0.02; 0.67; 8.53; 0.39; 2.64; 0
46; 0.9550; 0.0066; 0.0000; 0.0000; 0.5063; 0.0680; 0.0116; 0.3570; 78.92; 0.81; 24.94; 75.38; 0.93; 29.31; 0.8714; 0.0012; 0.0373; 0.0955; 0.0016; 0.0503; 13.88; 0.08; 2.53; 2.60; 0.02; 0.67; 8.53; 0.39; 2.64; 0
47; 0.9550; 0.0066; 0.0000; 0.0000; 0.5063;      0;      0;      0; 78.92; 0.81; 24.94; 75.38; 0.93; 29.31; 0.8714; 0.0012; 0.0373; 0.0955; 0.0016; 0.0503; 13.88; 0.08; 2.53; 2.60; 0.02; 0.67; 8.53; 0.39; 2.64; 0
48; 0.9550; 0.0066; 0.0000; 0.0000; 0.5063;      0;      0;      0; 74.46; 0.85; 26.41; 71.13; 0.95; 30.04; 0.8705; 0.0012; 0.0379; 0.0958; 0.0016; 0.0509; 13.73; 0.08; 2.51; 2.60; 0.02; 0.67; 8.53; 0.39; 2.64; 0
49; 0.9520; 0.0068; 0.0030; 0.0017; 0.5063;      0;      0;      0; 75.88; 0.80; 24.68; 72.26; 0.92; 28.99; 0.8604; 0.0014; 0.0426; 0.1073; 0.0018; 0.0557; 12.77; 0.08; 2.48; 2.52; 0.02; 0.68; 8.81; 0.40; 2.78; 0
50; 0.9520; 0.0068; 0.0000; 0.0000; 0.5063; 0.0221; 0.0112; 0.3446; 75.88; 0.80; 24.68; 72.26; 0.92; 28.99; 0.8604; 0.0014; 0.0426; 0.1073; 0.0018; 0.0557; 12.77; 0.08; 2.48; 2.52; 0.02; 0.68; 8.81; 0.40; 2.78; 0
51; 0.9520; 0.0068; 0.0000; 0.0000; 0.5063;      0;      0;      0; 75.88; 0.80; 24.68; 72.26; 0.92; 28.99; 0.8604; 0.0014; 0.0426; 0.1073; 0.0018; 0.0557; 12.77; 0.08; 2.48; 2.52; 0.02; 0.68; 8.81; 0.40; 2.78; 0
52; 0.9520; 0.0068; 0.0000; 0.0000; 0.5063;      0;      0;      0; 70.99; 0.85; 26.13; 67.60; 0.94; 29.63; 0.8594; 0.0014; 0.0433; 0.1074; 0.0019; 0.0574; 12.64; 0.08; 2.46; 2.52; 0.02; 0.68; 8.81; 0.40; 2.78; 0
53; 0.9440; 0.0073; 0.0080; 0.0028; 0.5063;      0;      0;      0; 75.91; 0.82; 25.20; 71.67; 0.95; 30.06; 0.8508; 0.0015; 0.0457; 0.1181; 0.0020; 0.0616; 11.95; 0.08; 2.34; 2.43; 0.02; 0.68; 9.55; 0.42; 3.16; 0
54; 0.9440; 0.0073; 0.0000; 0.0000; 0.5063; 0.0650; 0.0113; 0.3480; 75.91; 0.82; 25.20; 71.67; 0.95; 30.06; 0.8508; 0.0015; 0.0457; 0.1181; 0.0020; 0.0616; 11.95; 0.08; 2.34; 2.43; 0.02; 0.68; 9.55; 0.42; 3.16; 0
55; 0.9440; 0.0073; 0.0000; 0.0000; 0.5063;      0;      0;      0; 75.91; 0.82; 25.20; 71.67; 0.95; 30.06; 0.8508; 0.0015; 0.0457; 0.1181; 0.0020; 0.0616; 11.95; 0.08; 2.34; 2.43; 0.02; 0.68; 9.55; 0.42; 3.16; 0
56; 0.9430; 0.0073; 0.0010; 0.0010; 0.5063;      0;      0;      0; 71.64; 0.86; 26.41; 67.57; 0.97; 30.53; 0.8501; 0.0015; 0.0459; 0.1185; 0.0021; 0.0635; 11.83; 0.08; 2.32; 2.43; 0.02; 0.68; 9.63; 0.42; 3.18; 0
57; 0.9390; 0.0076; 0.0040; 0.0020; 0.5063;      0;      0;      0; 73.10; 0.79; 24.32; 68.66; 0.93; 29.31; 0.8408; 0.0016; 0.0485; 0.1303; 0.0022; 0.0672; 11.09; 0.07; 2.23; 2.35; 0.02; 0.68; 9.98; 0.43; 3.35; 0
58; 0.9390; 0.0076; 0.0000; 0.0000; 0.5063; 0.0260; 0.0107; 0.3290; 73.10; 0.79; 24.32; 68.66; 0.93; 29.31; 0.8408; 0.0016; 0.0485; 0.1303; 0.0022; 0.0672; 11.09; 0.07; 2.23; 2.35; 0.02; 0.68; 9.98; 0.43; 3.35; 0
59; 0.9390; 0.0076; 0.0000; 0.0000; 0.5063;      0;      0;      0; 73.10; 0.79; 24.32; 68.66; 0.93; 29.31; 0.8408; 0.0016; 0.0485; 0.1303; 0.0022; 0.0672; 11.09; 0.07; 2.23; 2.35; 0.02; 0.68; 9.98; 0.43; 3.35; 0
60; 0.9390; 0.0076; 0.0000; 0.0000; 0.5063;      0;      0;      0; 68.58; 0.83; 25.44; 64.42; 0.94; 29.59; 0.8398; 0.0016; 0.0483; 0.1309; 0.0022; 0.0680; 10.99; 0.07; 2.22; 2.34; 0.02; 0.68; 9.98; 0.43; 3.35; 0
61; 0.9330; 0.0079; 0.0060; 0.0024; 0.5063;      0;      0;      0; 73.27; 0.83; 25.48; 68.37; 0.97; 30.65; 0.8308; 0.0017; 0.0533; 0.1399; 0.0023; 0.0712; 10.41; 0.07; 2.15; 2.26; 0.02; 0.69; 10.52; 0.44; 3.64; 0
62; 0.9330; 0.0079; 0.0000; 0.0000; 0.5063; 0.0591; 0.0107; 0.3267; 73.27; 0.83; 25.48; 68.37; 0.97; 30.65; 0.8308; 0.0017; 0.0533; 0.1399; 0.0023; 0.0712; 10.41; 0.07; 2.15; 2.26; 0.02; 0.69; 10.52; 0.44; 3.64; 0
63; 0.9330; 0.0079; 0.0000; 0.0000; 0.5063;      0;      0;      0; 73.27; 0.83; 25.48; 68.37; 0.97; 30.65; 0.8308; 0.0017; 0.0533; 0.1399; 0.0023; 0.0712; 10.41; 0.07; 2.15; 2.26; 0.02; 0.69; 10.52; 0.44; 3.64; 0
64; 0.9320; 0.0080; 0.0010; 0.0010; 0.5063;      0;      0;      0; 68.94; 0.87; 26.49; 64.27; 0.98; 30.88; 0.8301; 0.0017; 0.0530; 0.1404; 0.0024; 0.0729; 10.32; 0.07; 2.13; 2.25; 0.02; 0.69; 10.60; 0.45; 3.67; 0
65; 0.9280; 0.0082; 0.0040; 0.0020; 0.5063;      0;      0;      0; 73.63; 0.87; 26.39; 68.35; 1.00; 31.73; 0.8208; 0.0019; 0.0573; 0.1508; 0.0025; 0.0772; 9.80; 0.07; 2.05; 2.16; 0.02; 0.68; 10.96; 0.45; 3.86; 0
66; 0.9280; 0.0082; 0.0000; 0.0000; 0.5063; 0.0648; 0.0106; 0.3240; 73.63; 0.87; 26.39; 68.35; 1.00; 31.73; 0.8208; 0.0019; 0.0573; 0.1508; 0.0025; 0.0772; 9.80; 0.07; 2.05; 2.16; 0.02; 0.68; 10.96; 0.45; 3.86; 0
67; 0.9280; 0.0082; 0.0000; 0.0000; 0.5063;      0;      0;      0; 73.63; 0.87; 26.39; 68.35; 1.00; 31.73; 0.8208; 0.0019; 0.0573; 0.1508; 0.0025; 0.0772; 9.80; 0.07; 2.05; 2.16; 0.02; 0.68; 10.96; 0.45; 3.86; 0
68; 0.9280; 0.0082; 0.0000; 0.0000; 0.5063;      0;      0;      0; 69.31; 0.90; 27.46; 64.33; 1.01; 31.92; 0.8199; 0.0019; 0.0578; 0.1506; 0.0025; 0.0766; 9.73; 0.07; 2.03; 2.16; 0.02; 0.68; 10.96; 0.45; 3.86; 0
69; 0.9230; 0.0084; 0.0050; 0.0022; 0.5063;      0;      0;      0; 72.56; 0.85; 25.71; 66.98; 0.99; 31.36; 0.8087; 0.0022; 0.0659; 0.1619; 0.0027; 0.0810; 9.25; 0.07; 2.00; 2.07; 0.02; 0.68; 11.42; 0.47; 4.12; 0
70; 0.9230; 0.0084; 0.0000; 0.0000; 0.5063; 0.0475; 0.0108; 0.3271; 72.56; 0.85; 25.71; 66.98; 0.99; 31.36; 0.8087; 0.0022; 0.0659; 0.1619; 0.0027; 0.0810; 9.25; 0.07; 2.00; 2.07; 0.02; 0.68; 11.42; 0.47; 4.12; 0
71; 0.9230; 0.0084; 0.0000; 0.0000; 0.5063;      0;      0;      0; 72.56; 0.85; 25.71; 66.98; 0.99; 31.36; 0.8087; 0.0022; 0.0659; 0.1619; 0.0027; 0.0810; 9.25; 0.07; 2.00; 2.07; 0.02; 0.68; 11.42; 0.47; 4.12; 0
72; 0.9230; 0.0084; 0.0000; 0.0000; 0.5063;      0;      0;      0; 68.43; 0.88; 26.61; 63.17; 0.99; 31.40; 0.8076; 0.0022; 0.0663; 0.1628; 0.0027; 0.0823; 9.18; 0.07; 1.99; 2.07; 0.02; 0.68; 11.42; 0.47; 4.12; 0
73; 0.9130; 0.0089; 0.0100; 0.0031; 0.5063;      0;      0;      0; 72.17; 0.84; 25.36; 65.90; 1.00; 31.63; 0.8003; 0.0022; 0.0653; 0.1682; 0.0027; 0.0822; 8.82; 0.06; 1.93; 1.99; 0.02; 0.67; 12.29; 0.49; 4.57; 0
74; 0.9130; 0.0089; 0.0000; 0.0000; 0.5063; 0.0490; 0.0109; 0.3287; 72.17; 0.84; 25.36; 65.90; 1.00; 31.63; 0.8003; 0.0022; 0.0653; 0.1682; 0.0027; 0.0822; 8.82; 0.06; 1.93; 1.99; 0.02; 0.67; 12.29; 0.49; 4.57; 0
75; 0.9130; 0.0089; 0.0000; 0.0000; 0.5063;      0;      0;      0; 72.17; 0.84; 25.36; 65.90; 1.00; 31.63; 0.8003; 0.0022; 0.0653; 0.1682; 0.0027; 0.0822; 8.82; 0.06; 1.93; 1.99; 0.02; 0.67; 12.29; 0.49; 4.57; 0
76; 0.9130; 0.0089; 0.0000; 0.0000; 0.5063;      0;      0;      0; 67.88; 0.87; 26.32; 61.98; 1.00; 31.59; 0.7993; 0.0022; 0.0662; 0.1687; 0.0028; 0.0834; 8.75; 0.06; 1.94; 1.98; 0.02; 0.67; 12.29; 0.49; 4.57; 0
77; 0.9090; 0.0091; 0.0040; 0.0020; 0.5063;      0;      0;      0; 70.79; 0.84; 25.27; 64.36; 1.00; 31.52; 0.7901; 0.0023; 0.0698; 0.1794; 0.0028; 0.0843; 8.38; 0.06; 1.91; 1.90; 0.02; 0.67; 12.63; 0.50; 4.74; 0
78; 0.9090; 0.0091; 0.0000; 0.0000; 0.5063; 0.0382; 0.0108; 0.3271; 70.79; 0.84; 25.27; 64.36; 1.00; 31.52; 0.7901; 0.0023; 0.0698; 0.1794; 0.0028; 0.0843; 8.38; 0.06; 1.91; 1.90; 0.02; 0.67; 12.63; 0.50; 4.74; 0
79; 0.9090; 0.0091; 0.0000; 0.0000; 0.5063;      0;      0;      0; 70.79; 0.84; 25.27; 64.36; 1.00; 31.52; 0.7901; 0.0023; 0.0698; 0.1794; 0.0028; 0.0843; 8.38; 0.06; 1.91; 1.90; 0.02; 0.67; 12.63; 0.50; 4.74; 0
80; 0.9080; 0.0091; 0.0010; 0.0010; 0.5063;      0;      0;      0; 66.61; 0.87; 26.12; 60.50; 0.99; 31.43; 0.7892; 0.0023; 0.0706; 0.1798; 0.0029; 0.0862; 8.33; 0.06; 1.90; 1.89; 0.02; 0.67; 12.71; 0.50; 4.78; 0
81; 0.8980; 0.0096; 0.0100; 0.0031; 0.5063;      0;      0;      0; 71.39; 0.88; 26.39; 64.14; 1.04; 33.01; 0.7799; 0.0025; 0.0758; 0.1879; 0.0030; 0.0892; 8.00; 0.06; 1.87; 1.82; 0.02; 0.66; 13.52; 0.51; 5.17; 0
82; 0.8980; 0.0096; 0.0000; 0.0000; 0.5063; 0.0567; 0.0107; 0.3212; 71.39; 0.88; 26.39; 64.14; 1.04; 33.01; 0.7799; 0.0025; 0.0758; 0.1879; 0.0030; 0.0892; 8.00; 0.06; 1.87; 1.82; 0.02; 0.66; 13.52; 0.51; 5.17; 0
